Cycle,BJD,Error
49821,2459773.15666,6e-05
49822,2459773.26701,6e-05
49823,2459773.37738,6e-05
49824,2459773.48774,6e-05
49825,2459773.59815,6e-05
49826,2459773.70847,6e-05
49827,2459773.81895,6e-05
49828,2459773.92918,7e-05
49829,2459774.03968,6e-05
49830,2459774.15,6e-05
49831,2459774.26038,6e-05
49832,2459774.37075,6e-05
49833,2459774.48115,6e-05
49834,2459774.59151,8e-05
49835,2459774.7019,7e-05
49896,2459781.434685,3.1e-05
49916,2459783.64217,5e-05
49917,2459783.75251,5e-05
49918,2459783.86289,5e-05
49919,2459783.97337,5e-05
49920,2459784.08361,5e-05
49921,2459784.19396,5e-05
49922,2459784.3044,5e-05
49923,2459784.41485,5e-05
49924,2459784.52518,5e-05
49925,2459784.63544,5e-05
49926,2459784.74592,5e-05
49927,2459784.85632,5e-05
49928,2459784.96664,5e-05
49929,2459785.07692,5e-05
49930,2459785.1874,5e-05
49931,2459785.29785,5e-05
49932,2459785.40812,5e-05
49933,2459785.5185,6e-05
49934,2459785.62895,6e-05
49935,2459785.73935,6e-05
49936,2459785.84966,6e-05
49937,2459785.96008,6e-05
49938,2459786.07041,6e-05
49939,2459786.18079,6e-05
49940,2459786.29114,6e-05
49941,2459786.40155,6e-05
49942,2459786.51183,6e-05
49943,2459786.62222,6e-05
49944,2459786.73267,6e-05
49945,2459786.8429,6e-05
49946,2459786.95347,6e-05
49947,2459787.06365,6e-05
49948,2459787.17415,6e-05
49949,2459787.28447,6e-05
49950,2459787.39494,6e-05
49951,2459787.50533,6e-05
49952,2459787.61561,6e-05
49953,2459787.72597,6e-05
49954,2459787.83638,6e-05
49955,2459787.94671,6e-05
49956,2459788.05718,6e-05
49957,2459788.16751,6e-05
49958,2459788.27792,6e-05
49959,2459788.38827,6e-05
49960,2459788.49852,7e-05
49961,2459788.60896,9e-05
49964,2459788.94055,inf
49966,2459789.16081,8e-05
49967,2459789.27116,7e-05
49967,2459789.27121,0.0001
49968,2459789.38163,7e-05
50015,2459794.56914,7e-05
50016,2459794.67946,7e-05
50017,2459794.78995,7e-05
50019,2459795.01068,6e-05
50020,2459795.12106,5e-05
50021,2459795.23149,5e-05
50022,2459795.34188,5e-05
50023,2459795.45212,5e-05
50024,2459795.56255,5e-05
50025,2459795.67294,5e-05
50026,2459795.7834,5e-05
50027,2459795.89373,5e-05
50028,2459796.00411,5e-05
50029,2459796.11444,8e-05
50186,2459813.443156,2.5e-05
50430,2459840.374422,1.69e-05
50431,2459840.484825,2.52e-05
50777,2459878.674183,3.6e-05
50786,2459879.66754,3.4e-05
50792,2459880.329872,5.79e-05
50885,2459890.594646,1.7e-05
50946,2459897.327439,1.97e-05
51009,2459904.281005,1.31e-05
52444,2460062.667941,5.21e-05
52480,2460066.641339,3.93e-05
52715,2460092.579264,2.78e-05
52878,2460110.570254,2.31e-05
52968,2460120.503911,8.1e-06
52969,2460120.614297,2.2e-05
53177,2460143.572119,1.39e-05
53357,2460163.439497,1.27e-05
53358,2460163.549862,1.04e-05
53629,2460193.461176,4.98e-05
53647,2460195.447958,1.27e-05
53810,2460213.43895,2e-05
53864,2460219.399129,3e-05
53873,2460220.392544,2.78e-05
