EclipseNumber,BJD,Error
73517,2458854.512975531,0.0001374859074872
73518,2458854.608559372,0.0001083488880854
73519,2458854.7042353484,0.0001345264423776
73520,2458854.800017202,0.0001354880825517
73537,2458856.425941414,0.0001681083128149
73539,2458856.5217438526,0.0001195187395868
73541,2458856.7130814334,0.000128313767674
73542,2458856.808758484,0.0001392244026578
73543,2458856.9044471495,0.000145471939506
73544,2458857.000191587,9.7560834552e-05
73546,2458857.1913512014,0.0001323981353171
73548,2458857.382490335,0.0001187295859166
73549,2458857.5737175853,9.57167551651e-05
73549,2458857.478169468,0.0001528097835076
73551,2458857.6694745715,0.0001638021014153
73552,2458857.765234141,0.0001364947607465
73553,2458857.9561749008,0.000129417020727
73553,2458857.8608170566,0.0001823402168366
73555,2458858.0520715388,0.000151228132692
73556,2458858.243274672,0.0001208742838667
73556,2458858.1478484566,0.0001583538365402
73558,2458858.3390249237,0.0001188265463632
73559,2458858.530091388,9.66631257449e-05
73559,2458858.4347388386,0.0001177188403732
73561,2458858.721538013,9.76829523992e-05
73561,2458858.625908762,0.0001315885077339
73562,2458858.8171779634,0.0001464117103238
73564,2458859.0083012744,0.0001369029644359
73564,2458858.9129830794,0.0001100843361736
73566,2458859.104192775,0.0001173126459019
73567,2458859.199979776,0.0001522565856582
73567,2458859.2953903987,0.0001063929778859
73568,2458859.391022919,0.0001238480960546
73569,2458859.486601516,0.0001386409072523
73570,2458859.5823356854,0.0001209626456459
73572,2458859.6781036044,0.0001126799033117
73573,2458859.773814361,0.0001975283047907
73574,2458859.8693230427,0.000118308142037
73574,2458859.964869404,0.0001146157363706
73576,2458860.0608132104,0.0001471716543133
73577,2458860.156295909,0.0001128909519905
73578,2458860.252037683,0.0001248517099628
73579,2458860.3478053003,0.0001047076553265
73579,2458860.443181233,0.0001217549258432
73581,2458860.538859056,9.74112210141e-05
73582,2458860.634617152,0.0001252402830144
73582,2458860.7300412455,0.0001311052644593
73584,2458860.8260264457,8.84517491656e-05
73585,2458860.92148526,0.0001186072530833
73586,2458861.0170741105,0.0001305305955118
73587,2458861.1128011346,0.0001018499590824
73588,2458861.2083754283,0.0001182353834963
73589,2458861.30401,5e-05
73589,2458861.304312474,9.99795730492e-05
73590,2458861.3997674654,9.76822091809e-05
73590,2458861.4951702747,0.0001253031384076
73592,2458861.5909504304,0.000117852339167
73593,2458861.686747131,0.0001197803330685
73594,2458861.7823322606,0.0001308320088724
73596,2458861.9737072825,0.0001384144384752
73597,2458862.0693719336,0.0001240636570986
73597,2458862.1647206894,0.000121198853469
73598,2458862.2603706806,0.0001654648415563
73600,2458862.356148352,0.0001431253332055
73601,2458862.54733592,0.000138100894329
73601,2458862.4518004167,8.48712789744e-05
73603,2458862.738681845,0.0001211205716911
73603,2458862.6430717246,0.0001263727514986
73605,2458862.9299715324,0.0001189841321778
73605,2458862.834445457,0.0001668822868874
73607,2458863.0258042356,0.0001564692786179
73608,2458863.21686121,9.1674923528e-05
73608,2458863.121312673,0.0001062824931714
73610,2458863.3127004406,0.0001140234174074
73611,2458863.408270756,0.0001139006691583
73612,2458863.504053524,0.000113174709773
73613,2458863.695061471,0.0001195901162213
73613,2458863.59956134,0.0001144141866413
73614,2458863.7907830114,0.0001052359337482
73615,2458863.8863084526,0.0001139061761712
73617,2458864.0776950214,0.0001131270580997
73617,2458863.9822302726,0.0001007138462466
73619,2458864.269029108,0.0001301425331316
73619,2458864.17345464,0.0001095314664969
73621,2458864.364731372,0.0001300505258927
73622,2458864.4604668985,0.0001236435557878
73624,2458864.6519054286,0.0001731932558173
73625,2458864.842799207,0.0001169159042447
73625,2458864.7472896622,0.0001223672145352
73626,2458864.9384452603,0.0001279188659603
73628,2458865.0344225313,0.0001154559318298
73629,2458865.1299633784,0.0001435815214167
73630,2458865.2258075504,0.0001144948844511
73631,2458865.321170709,9.78459838853e-05
73632,2458865.4170506764,0.00012027789643
73633,2458865.5124972668,0.0001197355382873
73634,2458865.608141275,0.0001243479909758
73635,2458865.70378062,0.0001270521646124
73636,2458865.799464997,0.0001150595609211
73637,2458865.8951674323,0.0001319343052805
73638,2458865.990783176,7.90176598402e-05
73639,2458866.086486105,0.0001180848806717
73640,2458866.1822017804,0.0001072837275702
73641,2458866.277690681,8.94958111083e-05
73642,2458866.373450392,0.0001019065044297
73643,2458866.468925289,0.0001371217009422
73643,2458866.564345571,0.0001411473715997
73644,2458866.6601314284,0.0001183322681523
73645,2458866.755801416,9.32039664226e-05
73646,2458866.85141093,9.41034256476e-05
73648,2458866.9472274254,0.0001048790060261
73649,2458867.0428769113,0.0001064466284553
